Player Name,#Instagram Followers feb-2019,#Instagram Followers nov-2021
Rafael Nadal,6434996,12349083
Roger Federer,5804947,8796846
Novak Djokovic,5100000,9465474
Juan Martin del Potro,1815226,1867755
Andy Murray,1700000,1802054
Nick Kyrgios,1037846,1749490
Stanislas Wawrinka,913567,1246096
Grigor Dimitrov,854606,1026272
Alexander Zverev,72686,1475925
Dominic Thiem,556312,1425917
Kei Nishikori,476388,540863
Stefanos Tsitsipas,453918,1465164
Gael Monfils,449125,826242
Tomas Berdych,37888,340430
Milos Raonic,377705,350576
Fabio Fognini,346323,586479
Diego Schwartzman,291137,679943
Denis Shapovalov,270249,529807
Fernando Verdasco,254922,285325
David Goffin,24489,287210
Feliciano Lopez,201889,237901
Borna Coric,196635,240511
Marin Čilić,181546,205841
John Isner,169332,196141
Lucas Pouille,167432,172165
Benoit Paire,13825,396219
Richard Gasquet,137522,140338
Hyeon Chung,135265,997000
Kevin Anderson,133952,127906
Karen Khachanov,130822,255535
Alex De Minaur,117002,223608
Frances Tiafoe,10509,208500
Marco Cecchinato,100922,86622
Guido Pella,74338,170676
Pierre-Hugues Herbert,74265,107810
Kyle Edmund,73052,86357
Vasek Pospisil,72383,92536
Taylor Fritz,70988,147999
Nico Jarry,68747,97182
Jeremy Chardy,63412,74914
Pablo Carreño,60953,130340
João Sousa,53648,62169
Andreas Seppi,5275,67808
Roberto Bautista Agut,46046,62562
Mischa Zverev,43073,116449
Medvedev Daniil,39729,62644
Pablo Cuevas,39296,712339
Malek Jaziri,37564,42437
Cristian Garin,36636,168206
Nikoloz Basilashvili,36601,95432
Damir Dzumhur,36139,
Sam Querrey,30487,
Ivo Karlovic,28953,
John Millman,27252,
Steve Johnson,23164,
Fucsovics Marton,22873,
Filip Krajinović,21831,
Matt Ebden,21401,
Ryan Harrison,21375,
Pablo Andujar,19185,
Matteo Berrettini,1833,
Taro Daniel,17273,
Marius Copil,16386,
Jaume Muna,16233,
Albert Ramos Viñolas,15872,
Robin Haase,14644,
Dusan Lajovic,14362,
Denis Kudla,13881,
Mackenzie McDonald,13489,
Cameron Norrie,13438,
Federico Delbonis,12192,
Aljaz Bedene,11598,
Jordan Thompson,11272,
Reilly Opelka,1079,
Yoshihito Nishioka,9976,
Adrian Mannarino,9421,
Thomas Fabbiano,8893,
Jiri Vesely,8597,
Maximilian Marterer,8206,
Tennys Sandgren,679,
Bernard Tomic,5655,
Evgeny Donskoy,5103,
Guido Andreozzi,4662,
Mirza Basic,4347,
Hubert Hurkacz,371,
Roberto Carballes Baena,3635,
Ugo Humbert,3582,
Mikhail Kukushkin,3186,
Laslo Djere,3022,
Peter Gojowczyk,2502,
Ilya Ivashka,2378,
Lloyd Harris,2359,
Martin Klizan,2159,
Bradley Klahn,1513,
Radu Albot,1338,
Jozef Kovalik,1324,
Ernests Gulbis,1001,
